run,bot,hp,win
265,RandomBot,0,False
266,RandomBot,56,True
267,RandomBot,33,True
268,RandomBot,18,True
269,RandomBot,12,True
270,RandomBot,46,True
271,RandomBot,26,True
272,RandomBot,27,True
273,RandomBot,55,True
274,RandomBot,43,True
275,RandomBot,39,True
276,RandomBot,23,True
277,RandomBot,0,False
278,RandomBot,0,False
279,RandomBot,20,True
280,RandomBot,65,True
281,RandomBot,15,True
282,RandomBot,18,True
283,RandomBot,33,True
284,RandomBot,1,True
285,RandomBot,25,True
286,RandomBot,0,False
287,RandomBot,24,True
288,RandomBot,16,True
289,RandomBot,62,True
290,RandomBot,57,True
291,RandomBot,51,True
292,RandomBot,50,True
293,RandomBot,21,True
294,RandomBot,75,True
295,RandomBot,28,True
296,RandomBot,65,True
297,RandomBot,53,True
298,RandomBot,11,True
299,RandomBot,47,True
300,RandomBot,12,True
301,RandomBot,50,True
302,RandomBot,0,False
303,RandomBot,61,True
304,RandomBot,10,True
305,RandomBot,53,True
306,RandomBot,65,True
307,RandomBot,66,True
308,RandomBot,15,True
309,RandomBot,0,False
310,RandomBot,39,True
311,RandomBot,0,False
312,RandomBot,39,True
313,RandomBot,55,True
314,RandomBot,0,False
315,RandomBot,42,True
316,RandomBot,33,True
317,RandomBot,55,True
318,RandomBot,45,True
319,RandomBot,31,True
320,RandomBot,0,False
321,RandomBot,0,False
322,RandomBot,41,True
323,RandomBot,28,True
324,RandomBot,5,True
325,RandomBot,46,True
326,RandomBot,62,True
327,RandomBot,37,True
328,RandomBot,62,True
329,RandomBot,2,True
330,RandomBot,39,True
331,RandomBot,0,False
332,RandomBot,51,True
333,RandomBot,50,True
334,RandomBot,64,True
335,RandomBot,51,True
336,RandomBot,47,True
337,RandomBot,38,True
338,RandomBot,47,True
339,RandomBot,63,True
340,RandomBot,42,True
341,RandomBot,56,True
342,RandomBot,35,True
343,RandomBot,69,True
344,RandomBot,65,True
345,RandomBot,48,True
346,RandomBot,64,True
347,RandomBot,55,True
348,RandomBot,33,True
349,RandomBot,50,True
350,RandomBot,62,True
351,RandomBot,0,False
352,RandomBot,69,True
353,RandomBot,55,True
354,RandomBot,48,True
355,RandomBot,31,True
356,RandomBot,43,True
357,RandomBot,54,True
358,RandomBot,32,True
359,RandomBot,24,True
360,RandomBot,0,False
361,RandomBot,35,True
362,RandomBot,15,True
363,RandomBot,63,True
364,RandomBot,57,True
365,RandomBot,12,True
366,RandomBot,65,True
367,RandomBot,52,True
368,RandomBot,16,True
369,RandomBot,62,True
370,RandomBot,29,True
371,RandomBot,64,True
372,RandomBot,0,False
373,RandomBot,45,True
374,RandomBot,14,True
375,RandomBot,69,True
376,RandomBot,39,True
377,RandomBot,64,True
378,RandomBot,53,True
379,RandomBot,46,True
380,RandomBot,62,True
381,RandomBot,47,True
382,RandomBot,0,False
383,RandomBot,60,True
384,RandomBot,60,True
385,RandomBot,64,True
386,RandomBot,0,False
387,RandomBot,59,True
388,RandomBot,37,True
389,RandomBot,52,True
390,RandomBot,12,True
391,RandomBot,58,True
392,RandomBot,47,True
393,RandomBot,42,True
394,RandomBot,18,True
395,RandomBot,0,False
396,RandomBot,49,True
397,RandomBot,52,True
398,RandomBot,21,True
399,RandomBot,60,True
400,RandomBot,48,True
401,RandomBot,65,True
402,RandomBot,53,True
403,RandomBot,67,True
404,RandomBot,57,True
405,RandomBot,23,True
406,RandomBot,57,True
407,RandomBot,0,False
408,RandomBot,72,True
409,RandomBot,61,True
410,RandomBot,30,True
411,RandomBot,20,True
412,RandomBot,0,False
413,RandomBot,43,True
414,RandomBot,34,True
415,RandomBot,55,True
416,RandomBot,29,True
417,RandomBot,51,True
418,RandomBot,54,True
419,RandomBot,44,True
420,RandomBot,35,True
421,RandomBot,38,True
422,RandomBot,14,True
423,RandomBot,61,True
424,RandomBot,10,True
425,RandomBot,55,True
426,RandomBot,32,True
427,RandomBot,0,False
428,RandomBot,17,True
429,RandomBot,40,True
430,RandomBot,67,True
431,RandomBot,65,True
432,RandomBot,20,True
433,RandomBot,40,True
434,RandomBot,47,True
435,RandomBot,0,False
436,RandomBot,60,True
437,RandomBot,58,True
438,RandomBot,28,True
439,RandomBot,23,True
440,RandomBot,51,True
441,RandomBot,63,True
442,RandomBot,41,True
443,RandomBot,24,True
444,RandomBot,38,True
445,RandomBot,51,True
446,RandomBot,56,True
447,RandomBot,65,True
448,RandomBot,62,True
449,RandomBot,29,True
450,RandomBot,47,True
451,RandomBot,12,True
452,RandomBot,2,True
453,RandomBot,45,True
454,RandomBot,54,True
455,RandomBot,34,True
456,RandomBot,44,True
457,RandomBot,14,True
458,RandomBot,12,True
459,RandomBot,53,True
460,RandomBot,52,True
461,RandomBot,0,False
462,RandomBot,47,True
463,RandomBot,46,True
464,RandomBot,36,True
465,RandomBot,23,True
466,RandomBot,63,True
467,RandomBot,51,True
468,RandomBot,42,True
469,RandomBot,39,True
470,RandomBot,0,False
471,RandomBot,55,True
472,RandomBot,23,True
473,RandomBot,65,True
474,RandomBot,39,True
475,RandomBot,47,True
476,RandomBot,0,False
477,RandomBot,13,True
478,RandomBot,44,True
479,RandomBot,55,True
480,RandomBot,55,True
481,RandomBot,32,True
482,RandomBot,21,True
483,RandomBot,40,True
484,RandomBot,49,True
485,RandomBot,40,True
486,RandomBot,0,False
487,RandomBot,52,True
488,RandomBot,34,True
489,RandomBot,6,True
490,RandomBot,67,True
491,RandomBot,49,True
492,RandomBot,34,True
493,RandomBot,70,True
494,RandomBot,29,True
495,RandomBot,51,True
496,RandomBot,0,False
497,RandomBot,59,True
498,RandomBot,55,True
499,RandomBot,28,True
500,RandomBot,0,False
501,RandomBot,2,True
502,RandomBot,62,True
503,RandomBot,62,True
504,RandomBot,55,True
505,RandomBot,0,False
506,RandomBot,33,True
507,RandomBot,0,False
508,RandomBot,60,True
509,RandomBot,47,True
510,RandomBot,60,True
511,RandomBot,47,True
512,RandomBot,61,True
513,RandomBot,74,True
514,RandomBot,45,True
515,RandomBot,20,True
516,RandomBot,35,True
517,RandomBot,41,True
518,RandomBot,46,True
519,RandomBot,45,True
520,RandomBot,0,False
521,RandomBot,51,True
522,RandomBot,18,True
523,RandomBot,0,False
524,RandomBot,65,True
525,RandomBot,55,True
526,RandomBot,55,True
527,RandomBot,65,True
528,RandomBot,46,True
529,RandomBot,4,True
530,RandomBot,34,True
531,RandomBot,0,False
532,RandomBot,0,False
533,RandomBot,55,True
534,RandomBot,17,True
535,RandomBot,61,True
536,RandomBot,34,True
537,RandomBot,35,True
538,RandomBot,48,True
539,RandomBot,64,True
540,RandomBot,3,True
541,RandomBot,33,True
542,RandomBot,54,True
543,RandomBot,4,True
544,RandomBot,48,True
545,RandomBot,50,True
546,RandomBot,55,True
547,RandomBot,58,True
548,RandomBot,45,True
549,RandomBot,42,True
550,RandomBot,38,True
551,RandomBot,36,True
552,RandomBot,0,False
553,RandomBot,37,True
554,RandomBot,32,True
555,RandomBot,25,True
556,RandomBot,57,True
557,RandomBot,52,True
558,RandomBot,28,True
559,RandomBot,23,True
560,RandomBot,13,True
561,RandomBot,38,True
562,RandomBot,51,True
563,RandomBot,23,True
564,RandomBot,32,True
565,RandomBot,54,True
566,RandomBot,76,True
567,RandomBot,55,True
568,RandomBot,62,True
569,RandomBot,69,True
570,RandomBot,3,True
571,RandomBot,55,True
572,RandomBot,0,False
573,RandomBot,0,False
574,RandomBot,39,True
575,RandomBot,17,True
576,RandomBot,60,True
577,RandomBot,51,True
578,RandomBot,0,False
579,RandomBot,50,True
580,RandomBot,56,True
581,RandomBot,32,True
582,RandomBot,53,True
583,RandomBot,49,True
584,RandomBot,0,False
585,RandomBot,48,True
586,RandomBot,38,True
587,RandomBot,62,True
588,RandomBot,12,True
589,RandomBot,59,True
590,RandomBot,55,True
591,RandomBot,29,True
592,RandomBot,20,True
593,RandomBot,36,True
594,RandomBot,53,True
595,RandomBot,41,True
596,RandomBot,46,True
597,RandomBot,48,True
598,RandomBot,55,True
599,RandomBot,0,False
600,RandomBot,48,True
601,RandomBot,33,True
602,RandomBot,43,True
603,RandomBot,0,False
604,RandomBot,52,True
605,RandomBot,50,True
606,RandomBot,20,True
607,RandomBot,36,True
608,RandomBot,19,True
609,RandomBot,43,True
610,RandomBot,5,True
611,RandomBot,4,True
612,RandomBot,48,True
613,RandomBot,64,True
614,RandomBot,32,True
615,RandomBot,28,True
616,RandomBot,51,True
617,RandomBot,37,True
618,RandomBot,69,True
619,RandomBot,36,True
620,RandomBot,28,True
621,RandomBot,39,True
622,RandomBot,55,True
623,RandomBot,19,True
624,RandomBot,59,True
625,RandomBot,40,True
626,RandomBot,62,True
627,RandomBot,37,True
628,RandomBot,21,True
629,RandomBot,53,True
630,RandomBot,22,True
631,RandomBot,48,True
632,RandomBot,33,True
633,RandomBot,54,True
634,RandomBot,55,True
635,RandomBot,74,True
636,RandomBot,60,True
637,RandomBot,31,True
638,RandomBot,52,True
639,RandomBot,45,True
640,RandomBot,40,True
641,RandomBot,45,True
642,RandomBot,65,True
643,RandomBot,24,True
644,RandomBot,4,True
645,RandomBot,27,True
646,RandomBot,67,True
647,RandomBot,0,False
648,RandomBot,59,True
649,RandomBot,0,False
650,RandomBot,54,True
651,RandomBot,57,True
652,RandomBot,51,True
653,RandomBot,62,True
654,RandomBot,61,True
655,RandomBot,0,False
656,RandomBot,0,False
657,RandomBot,24,True
658,RandomBot,44,True
659,RandomBot,58,True
660,RandomBot,27,True
661,RandomBot,52,True
662,RandomBot,60,True
663,RandomBot,24,True
664,RandomBot,60,True
665,RandomBot,0,False
666,RandomBot,1,True
667,RandomBot,42,True
668,RandomBot,10,True
669,RandomBot,31,True
670,RandomBot,27,True
671,RandomBot,22,True
672,RandomBot,67,True
673,RandomBot,45,True
674,RandomBot,48,True
675,RandomBot,49,True
676,RandomBot,0,False
677,RandomBot,66,True
678,RandomBot,47,True
679,RandomBot,61,True
680,RandomBot,39,True
681,RandomBot,42,True
682,RandomBot,44,True
683,RandomBot,2,True
684,RandomBot,52,True
685,RandomBot,14,True
686,RandomBot,64,True
687,RandomBot,56,True
688,RandomBot,51,True
689,RandomBot,42,True
690,RandomBot,17,True
691,RandomBot,18,True
692,RandomBot,0,False
693,RandomBot,25,True
694,RandomBot,44,True
695,RandomBot,44,True
696,RandomBot,20,True
697,RandomBot,33,True
698,RandomBot,69,True
699,RandomBot,37,True
700,RandomBot,74,True
701,RandomBot,63,True
702,RandomBot,9,True
703,RandomBot,46,True
704,RandomBot,60,True
705,RandomBot,32,True
706,RandomBot,42,True
707,RandomBot,0,False
708,RandomBot,31,True
709,RandomBot,38,True
710,RandomBot,46,True
711,RandomBot,11,True
712,RandomBot,29,True
713,RandomBot,19,True
714,RandomBot,69,True
715,RandomBot,31,True
716,RandomBot,29,True
717,RandomBot,28,True
718,RandomBot,65,True
719,RandomBot,40,True
720,RandomBot,65,True
721,RandomBot,69,True
722,RandomBot,46,True
723,RandomBot,65,True
724,RandomBot,35,True
725,RandomBot,56,True
726,RandomBot,22,True
727,RandomBot,5,True
728,RandomBot,49,True
729,RandomBot,55,True
730,RandomBot,15,True
731,RandomBot,60,True
732,RandomBot,46,True
733,RandomBot,44,True
734,RandomBot,5,True
735,RandomBot,21,True
736,RandomBot,41,True
737,RandomBot,60,True
738,RandomBot,30,True
739,RandomBot,1,True
740,RandomBot,9,True
741,RandomBot,20,True
742,RandomBot,43,True
743,RandomBot,48,True
744,RandomBot,25,True
745,RandomBot,0,False
746,RandomBot,35,True
747,RandomBot,46,True
748,RandomBot,41,True
749,RandomBot,33,True
750,RandomBot,65,True
751,RandomBot,37,True
752,RandomBot,50,True
753,RandomBot,55,True
754,RandomBot,60,True
755,RandomBot,50,True
756,RandomBot,43,True
757,RandomBot,47,True
758,RandomBot,54,True
759,RandomBot,0,False
760,RandomBot,41,True
761,RandomBot,63,True
762,RandomBot,31,True
763,RandomBot,43,True
764,RandomBot,32,True
765,RandomBot,53,True
766,RandomBot,45,True
767,RandomBot,0,False
768,RandomBot,42,True
769,RandomBot,35,True
770,RandomBot,34,True
771,RandomBot,0,False
772,RandomBot,7,True
773,RandomBot,27,True
774,RandomBot,61,True
775,RandomBot,27,True
776,RandomBot,5,True
777,RandomBot,64,True
778,RandomBot,64,True
779,RandomBot,42,True
780,RandomBot,40,True
781,RandomBot,74,True
782,RandomBot,56,True
783,RandomBot,44,True
784,RandomBot,55,True
